Lat,Lng,Count
40.81,-73.84,17
39.91,-104.99,17
32.8,-96.79,17
41.87,-71.39,17
42.37,-88.17,17
41.72,-87.62,17
39.1,-94.57,17
25.9,-80.32,17
39.88,-104.99,17
29.68,-95.38,17
47.51,-122.28,17
47.2,-122.46,17
25.95,-80.35,17
33.46,-112.16,17
25.93,-80.22,17
37.4,-122.02,17
35.22,-80.85,17
41.23,-112.01,17
41.78,-71.43,17
42.95,-85.68,17
40.82,-111.92,17
42.39,-83.16,17
33.39,-111.92,17
33.8,-84.41,17
30.35,-81.67,17
37.85,-122.22,17
25.92,-80.33,17
34.15,-118.31,17
33.75,-84.39,17
38.51,-121.46,17
34.02,-117.34,17
34.07,-117.44,17
37.71,-121.73,17
37.8,-122.27,17
33.91,-118.1,17
33.88,-118.15,17
37.56,-122.04,17
41.01,-76.48,16
40.73,-112.01,16
37.4,-122.04,16
42.23,-83.69,16
42.38,-83.04,16
26.36,-80.12,16
42.41,-122.98,16
37.8,-122.22,16
39.13,-104.86,16
34.12,-118.27,16
39.15,-84.54,16
41.98,-87.84,16
38.94,-94.61,16
42.98,-85.68,16
41.69,-87.66,16
33.9,-118.37,16
33.76,-84.49,16
37.78,-122.17,16
37.73,-122.4,16
37.71,-122.16,16
41.82,-71.39,16
33.46,-112.07,16
33.98,-118.28,16
39.32,-77.36,16
37.73,-122.41,16
40.74,-73.78,16
37.49,-122.22,16
42.51,-82.92,16
32.89,-96.77,16
33.86,-118.02,16
42.15,-87.96,16
41.19,-73.19,16
44.85,-123.01,16
32.72,-96.83,16
29.78,-95.59,16
33.75,-84.5,16
47.67,-122.32,16
33.9,-84.24,16
28.43,-81.4,16
27.85,-82.66,16
38.86,-77.0,16
39.01,-76.4,16
40.7,-73.98,16
26.3,-80.12,16
34.15,-118.09,16
41.72,-87.81,16
40.25,-111.7,16
33.92,-118.21,16
28.63,-81.39,16
30.36,-81.67,16
33.72,-84.4,16
41.81,-71.44,16
34.83,-82.3,16
44.09,-121.3,16
42.47,-83.11,16
32.81,-96.84,16
41.1,-112.0,16
33.81,-84.38,16
40.65,-74.01,16
40.96,-111.89,16
38.99,-77.16,16
32.8,-96.82,16
39.28,-77.32,16
40.78,-111.91,16
26.62,-80.07,16
39.92,-104.99,16
47.78,-122.32,16
26.67,-80.07,16
39.07,-84.52,16
33.93,-117.42,16
40.73,-73.84,16
34.07,-117.99,16
33.69,-117.91,16
29.78,-95.38,16
41.87,-87.73,16
34.11,-118.33,16
34.25,-118.43,16
44.04,-121.31,16
32.72,-117.16,16
34.49,-118.28,16
34.17,-118.61,16
33.86,-117.98,16
37.69,-122.07,16
34.04,-118.33,16
39.53,-104.87,16
37.83,-122.3,16
33.99,-117.91,16
42.33,-83.08,16
34.17,-118.5,16
34.02,-117.74,16
34.09,-118.21,16
39.12,-94.56,16
34.07,-117.58,16
26.01,-80.28,16
33.79,-117.88,16
41.88,-87.92,16
34.05,-118.01,16
33.88,-117.66,16
40.71,-74.16,16
36.21,-86.78,16
33.47,-112.04,16
38.77,-77.18,16
40.24,-111.69,16
32.89,-80.02,16
33.44,-111.89,16
41.4,-81.51,16
32.9,-96.77,16
37.48,-122.18,16
37.7,-121.91,16
38.78,-77.18,16
47.39,-122.29,16
29.68,-95.28,16
33.13,-117.11,16
37.74,-121.58,16
44.76,-123.05,16
42.5,-83.35,16
33.78,-117.9,16
33.89,-84.25,16
33.69,-117.9,16
33.87,-117.69,16
42.72,-84.51,16
39.4,-77.44,16
32.78,-96.81,16
37.67,-122.11,15
34.13,-117.94,15
41.22,-111.98,15
37.9,-122.31,15
37.82,-122.26,15
33.93,-118.35,15
37.59,-121.87,15
33.73,-117.99,15
37.45,-122.13,15
34.03,-117.73,15
33.91,-118.14,15
37.69,-122.1,15
26.13,-80.22,15
37.9,-122.07,15
36.04,-79.79,15
37.82,-122.32,15
35.44,-80.87,15
33.54,-84.27,15
47.24,-122.41,15
29.81,-95.41,15
45.05,-122.98,15
40.44,-80.01,15
34.07,-118.04,15
37.86,-122.3,15
29.73,-95.45,15
33.13,-117.12,15
37.69,-122.09,15
37.66,-122.1,15
29.73,-95.47,15
41.75,-71.44,15
26.19,-80.15,15
40.7,-111.91,15
42.4,-82.99,15
40.81,-74.18,15
47.79,-122.21,15
40.8,-73.92,15
34.04,-118.32,15
47.95,-122.2,15
47.59,-122.3,15
39.78,-104.86,15
33.67,-112.06,15
40.75,-73.9,15
38.92,-77.22,15
38.88,-77.02,15
47.22,-122.46,15
32.71,-96.83,15
38.85,-77.08,15
33.67,-112.08,15
33.94,-118.37,15
33.88,-118.13,15
32.84,-97.04,15
41.91,-87.67,15
41.89,-71.38,15
34.16,-118.41,15
29.72,-95.49,15
34.02,-118.05,15
33.91,-84.38,15
38.53,-121.47,15
34.29,-118.47,15
34.03,-118.17,15
39.87,-75.09,15
40.62,-74.31,15
40.77,-73.9,15
42.36,-83.07,15
32.66,-96.74,15
34.27,-118.44,15
39.38,-77.41,15
41.26,-73.68,15
36.18,-86.8,15
42.49,-83.29,15
34.05,-117.31,15
26.09,-80.21,15
34.08,-117.69,15
39.66,-104.92,15
39.29,-76.74,15
32.9,-96.72,15
41.91,-87.66,15
33.8,-118.11,15
33.07,-117.07,15
41.87,-87.88,15
40.4,-104.99,15
29.75,-95.36,15
41.91,-87.94,15
34.04,-118.58,15
42.97,-85.68,15
32.87,-96.9,15
37.37,-121.91,15
33.93,-118.27,15
34.03,-118.42,15
29.97,-95.42,15
27.34,-82.45,15
47.54,-122.33,15
26.58,-80.07,15
47.57,-122.33,15
34.03,-118.18,15
26.52,-80.07,15
34.07,-117.49,15
42.15,-88.03,15
32.88,-80.02,15
34.07,-118.06,15
37.91,-122.32,15
43.2,-123.36,15
33.79,-84.49,15
29.89,-95.41,15
38.02,-121.97,15
39.09,-84.52,15
38.57,-121.47,15
33.85,-117.84,15
32.75,-96.81,15
33.97,-118.23,15
45.46,-122.57,15
26.63,-80.07,15
47.43,-122.27,15
41.71,-72.65,15
40.73,-111.96,15
37.98,-122.04,15
33.84,-118.29,15
33.91,-118.37,15
40.5,-76.18,15
33.87,-118.06,15
41.11,-73.8,15
33.78,-84.61,15
40.29,-111.73,15
26.71,-80.14,15
41.57,-72.73,15
44.03,-121.32,15
25.82,-80.32,15
37.51,-121.94,15
33.52,-117.16,15
26.31,-80.17,15
33.91,-84.43,15
33.88,-117.65,15
33.81,-84.25,15
29.81,-95.36,15
33.83,-84.33,15
37.61,-122.07,15
40.76,-111.94,15
35.24,-80.85,15
45.55,-122.54,15
42.94,-78.77,15
37.88,-122.31,15
35.18,-80.89,15
43.06,-76.16,15
28.42,-81.47,15
29.78,-95.43,14
42.42,-122.85,14
35.24,-80.92,14
29.7,-95.28,14
37.37,-121.93,14
45.94,-123.92,14
42.43,-83.43,14
34.02,-118.24,14
39.11,-104.87,14
25.84,-80.32,14
41.17,-112.01,14
41.11,-73.41,14
34.16,-118.26,14
34.15,-118.12,14
41.12,-73.34,14
26.18,-80.15,14
40.72,-112.06,14
32.91,-96.9,14
33.88,-118.35,14
34.07,-117.61,14
33.86,-84.29,14
40.8,-73.83,14
37.91,-122.07,14
40.7,-74.25,14
44.09,-123.06,14
28.51,-81.39,14
36.14,-86.72,14
28.54,-81.37,14
40.86,-111.9,14
34.86,-82.25,14
44.97,-93.29,14
26.09,-80.2,14
45.07,-93.26,14
41.94,-87.71,14
39.27,-76.62,14
25.83,-80.32,14
30.13,-95.44,14
39.88,-75.1,14
27.39,-82.45,14
34.07,-117.3,14
33.9,-118.19,14
40.72,-111.92,14
34.07,-118.46,14
32.78,-117.07,14
42.39,-83.25,14
34.09,-117.65,14
40.64,-111.81,14
40.69,-111.95,14
34.23,-118.47,14
33.77,-117.87,14
34.16,-118.31,14
28.51,-81.42,14
45.81,-119.5,14
26.02,-80.17,14
39.35,-76.75,14
42.48,-82.92,14
42.4,-83.22,14
42.4,-83.07,14
41.0,-73.65,14
36.85,-76.19,14
39.25,-76.69,14
40.33,-111.74,14
34.03,-117.55,14
33.92,-117.44,14
33.74,-84.38,14
26.12,-80.33,14
42.39,-87.96,14
29.74,-95.46,14
33.75,-118.01,14
34.16,-118.63,14
33.64,-84.4,14
45.56,-122.56,14
38.67,-77.26,14
44.86,-93.3,14
36.84,-76.2,14
33.71,-84.22,14
34.04,-118.03,14
33.98,-118.13,14
36.86,-76.2,14
39.93,-74.74,14
41.09,-73.66,14
35.2,-80.88,14
34.04,-118.29,14
41.88,-87.64,14
34.03,-118.19,14
38.9,-76.95,14
